ReferenceID,Country,Product_Code,Product_Name,Subscription_Start_Date,Subscription_Deactivation_Date,Subscription_Duration_Months,Order_Date_Kyiv,Return_Date_Kyiv,Last_Rebill_Date_Kyiv,Has_Chargeback,Has_Refund,Sales_Agent_Name,Source,Campaign_Name,Total_Amount,Discount_Amount,Number_Of_Rebills,Original_Amount,Returned_Amount,Total_Rebill_Amount
GYB220101-1800-27157,US,aq-gyb-support-3-month-plan-lo,Support 3-month Plan,1-1-2022 0:00:00,8-10-2022 0:00:00,1,1-1-2022 22:34:00,,1-9-2022 13:20:00,No,No,Nick,Chat,AQ_9,"149,25","49,75",6,199,,"119,7"
GYB220101-1800-81123,AU,aq-one-time-pc-support,Support One Time PC Support,,,0,1-1-2022 5:22:00,,,No,No,Esmee,Call,AQ_7,"119,19","29,8",,"148,99",,
GYB220102-5490-23160,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,2-1-2022 0:00:00,,36,2-1-2022 21:53:00,4-1-2022 12:38:00,,No,Yes,Jackie,Call,AQ_9,684,0,,684,634,
GYB220102-5490-53112,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,2-1-2022 0:00:00,2-2-2022 0:00:00,1,2-1-2022 18:26:00,,,No,No,Clary,Chat,AQ_9,99,0,,99,,
GYB220103-4319-34119,US,gyb-support-24-month-plan-hi,Support 24-month Plan,3-1-2022 0:00:00,,24,3-1-2022 21:31:00,,,No,No,Jackie,Call,BF.Upgrade,"489,6","86,4",,576,,
GYB220103-6977-97158,CA,aq-one-time-pc-support,Support One Time PC Support,,,0,4-1-2022 0:17:00,,,No,No,Jackie,Call,AQ_1,"119,74","29,94",,"149,68",,
GYB220104-2435-90148,US,gyb-support-24-month-plan-hi,Support 24-month Plan,4-1-2022 0:00:00,2-6-2024 0:00:00,24,5-1-2022 1:33:00,,,No,No,Esmee,Call,ByteFence.CTA,576,0,,576,,
GYB220104-2435-91122,CA,aq-one-time-pc-support,Support One Time PC Support,,,0,4-1-2022 23:05:00,,,No,No,Vicky,Call,AQ_3,"148,86",0,,"148,86",,
GYB220104-4319-32105,US,aq-one-time-pc-support,Support One Time PC Support,,,0,4-1-2022 21:53:00,,,No,No,Megan,Chat,AQ_9,149,0,,149,,
GYB220104-5490-77123,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,4-1-2022 0:00:00,4-1-2025 0:00:00,36,4-1-2022 18:25:00,,,No,No,Megan,Chat,AQ_9,684,0,,684,,
GYB220104-8715-72118,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,4-1-2022 0:00:00,11-1-2023 0:00:00,1,4-1-2022 19:32:00,,,No,No,Vicky,Call,AQ_9,"345,6","86,4",,432,,
GYB220105-4319-74113,CA,aq-one-time-pc-support,Support One Time PC Support,,,0,6-1-2022 1:08:00,,,No,No,Esmee,Call,AQ_1,"97,11","52,29",,"149,4",,
GYB220105-5490-83111,US,aq-one-time-pc-support,Support One Time PC Support,,,0,5-1-2022 7:07:00,,,No,No,Jackie,Call,AQ_9,"126,65","22,35",,149,,
GYB220106-1800-64131,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,6-1-2022 0:00:00,6-2-2022 0:00:00,1,6-1-2022 20:31:00,,,No,No,Esmee,Call,AQ_25,99,0,,99,,
GYB220106-2435-53108,US,aq-one-time-pc-support,Support One Time PC Support,,,0,6-1-2022 3:43:00,,,No,No,,,,"96,85","52,15",,149,,
GYB220106-2435-63145,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,6-1-2022 0:00:00,13-1-2022 0:00:00,12,6-1-2022 18:43:00,13-1-2022 3:20:00,,Yes,No,Esmee,Call,AQ_9,432,0,,432,432,
GYB220106-5490-48130,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,6-1-2022 0:00:00,6-2-2022 0:00:00,1,6-1-2022 17:51:00,,,No,No,Esmee,Call,AQ_9,"79,2","19,8",,99,,
GYB220106-8715-51112,CA,aq-one-time-pc-support,Support One Time PC Support,,,0,6-1-2022 21:18:00,,,No,No,Jacob,Call,AQ_1,"149,45",0,,"149,45",,
